"delay","stop.id","stop.sequence","route"
189,"8146",15,"10202-20170214155712_v51.8"
-331,"7151",43,"22401-20170214155712_v51.8"
454,"1626",1,"13901-20170214155712_v51.8"
440,"5068",48,"08701-20170214155712_v51.8"
214,"8451",12,"26701-20170214155712_v51.8"
434,"7099",2,"24304-20170214155712_v51.8"
590,"8589",26,"30202-20170214155712_v51.8"
133,"8730",19,"31202-20170214155712_v51.8"
119,"8171",33,"39002-20170214155712_v51.8"
361,"7843",34,"71902-20170214155712_v51.8"
-3,"5837",34,"14501-20170214155712_v51.8"
-276,"7612",15,"39002-20170214155712_v51.8"
209,"5914",43,"14901-20170214155712_v51.8"
-63,"1331",23,"70301-20170214155712_v51.8"
-84,"7415",22,"62501-20170214155712_v51.8"
87,"8012",13,"00706-20170214155712_v51.8"
-41,"7200",11,"63502-20170214155712_v51.8"
158,"7534",42,"59502-20170214155712_v51.8"
-67,"7232",7,"02002-20170214155712_v51.8"
203,"8902",10,"24901-20170214155712_v51.8"
365,"7709",18,"31201-20170214155712_v51.8"
3000,"1061",1,"01002-20170214155712_v51.8"
-465,"7151",27,"30201-20170214155712_v51.8"
102,"7379",13,"76701-20170214155712_v51.8"
185,"8886",7,"03006-20170214155712_v51.8"
20,"7527",18,"59501-20170214155712_v51.8"
2547,"7351",53,"01654-20170214155712_v51.8"
231,"7611",37,"53205-20170214155712_v51.8"
82,"7406",15,"65502-20170214155712_v51.8"
970,"8421",25,"25801-20170214155712_v51.8"
-304,"8714",13,"30202-20170214155712_v51.8"
165,"8933",30,"25802-20170214155712_v51.8"
638,"8416",12,"25804-20170214155712_v51.8"
150,"8906",5,"25801-20170214155712_v51.8"
191,"7148",4,"27402-20170214155712_v51.8"
31,"7139",40,"26704-20170214155712_v51.8"
-113,"8480",32,"39001-20170214155712_v51.8"
198,"8638",19,"29902-20170214155712_v51.8"
54,"7055",1,"29902-20170214155712_v51.8"
239,"7176",5,"29902-20170214155712_v51.8"
502,"8417",29,"26701-20170214155712_v51.8"
-334,"7501",22,"32201-20170214155712_v51.8"
362,"7321",42,"76701-20170214155712_v51.8"
-577,"1090",43,"23301-20170214155712_v51.8"
146,"8418",16,"25802-20170214155712_v51.8"
-194,"8696",33,"29902-20170214155712_v51.8"
260,"5910",29,"11502-20170214155712_v51.8"
163,"7170",4,"30202-20170214155712_v51.8"
-852,"8589",26,"30202-20170214155712_v51.8"
161,"8322",24,"24602-20170214155712_v51.8"
153,"7280",15,"00705-20170214155712_v51.8"
-358,"7055",45,"31201-20170214155712_v51.8"
452,"4229",30,"89102-20170214155712_v51.8"
-270,"4704",50,"98204-20170214155712_v51.8"
1035,"8070",46,"00706-20170214155712_v51.8"
409,"7501",39,"59501-20170214155712_v51.8"
352,"7888",22,"77101-20170214155712_v51.8"
283,"7662",13,"70302-20170214155712_v51.8"
90,"8035",27,"01001-20170214155712_v51.8"
-397,"7284",45,"32101-20170214155712_v51.8"
408,"3426",10,"81302-20170214155712_v51.8"
94,"8130",20,"04902-20170214155712_v51.8"
365,"8070",22,"32102-20170214155712_v51.8"
-127,"1718",22,"00701-20170214155712_v51.8"
-199,"7140",10,"88103-20170214155712_v51.8"
264,"8432",6,"26700-20170214155712_v51.8"
-40,"8922",31,"23304-20170214155712_v51.8"
129,"7862",45,"71901-20170214155712_v51.8"
75,"7086",2,"87902-20170214155712_v51.8"
118,"3230",12,"87304-20170214155712_v51.8"
846,"3568",25,"81301-20170214155712_v51.8"
190,"8231",32,"22201-20170214155712_v51.8"
123,"8018",10,"03001-20170214155712_v51.8"
-385,"4111",48,"87501-20170214155712_v51.8"
-287,"5432",46,"14902-20170214155712_v51.8"
135,"7168",4,"26704-20170214155712_v51.8"
-94,"7145",40,"32201-20170214155712_v51.8"
-263,"8067",28,"32101-20170214155712_v51.8"
24,"7511",25,"50501-20170214155712_v51.8"
354,"7148",4,"27402-20170214155712_v51.8"
-471,"1090",52,"22201-20170214155712_v51.8"
6,"8113",48,"04901-20170214155712_v51.8"
265,"1088",43,"22101-20170214155712_v51.8"
23,"5912",1,"12102-20170214155712_v51.8"
738,"8230",23,"22302-20170214155712_v51.8"
-339,"8123",42,"11501-20170214155712_v51.8"
336,"5435",14,"15401-20170214155712_v51.8"
3,"8149",45,"15301-20170214155712_v51.8"
14,"5261",26,"11303-20170214155712_v51.8"
1073,"5854",46,"13502-20170214155712_v51.8"
40,"4151",19,"85802-20170214155712_v51.8"
259,"7064",2,"30202-20170214155712_v51.8"
-399,"7145",21,"27401-20170214155712_v51.8"
194,"8313",22,"23301-20170214155712_v51.8"
224,"8288",39,"24902-20170214155712_v51.8"
-173,"8680",37,"26702-20170214155712_v51.8"
1491,"8074",52,"00712-20170214155712_v51.8"
130,"8066",43,"00706-20170214155712_v51.8"
468,"8310",18,"23304-20170214155712_v51.8"
108,"8310",18,"24802-20170214155712_v51.8"
37,"8510",12,"27402-20170214155712_v51.8"
191,"1625",51,"15602-20170214155712_v51.8"
-215,"7148",6,"22304-20170214155712_v51.8"
172,"5063",56,"15402-20170214155712_v51.8"
-40,"5142",47,"19512-20170214155712_v51.8"
-20,"8569",1,"22201-20170214155712_v51.8"
420,"5814",35,"22402-20170214155712_v51.8"
293,"8231",24,"22101-20170214155712_v51.8"
-91,"8408",11,"25802-20170214155712_v51.8"
144,"7148",6,"23304-20170214155712_v51.8"
188,"8068",45,"00702-20170214155712_v51.8"
-92,"7099",2,"24902-20170214155712_v51.8"
122,"8408",11,"25802-20170214155712_v51.8"
25,"7058",1,"26702-20170214155712_v51.8"
-8,"7128",2,"26702-20170214155712_v51.8"
326,"7029",41,"25802-20170214155712_v51.8"
690,"8916",32,"25802-20170214155712_v51.8"
548,"8034",21,"00702-20170214155712_v51.8"
144,"8922",29,"24304-20170214155712_v51.8"
-26,"8416",15,"25502-20170214155712_v51.8"
373,"7137",7,"26704-20170214155712_v51.8"
