date;datatype;station;value;fl_m;fl_q;fl_so;fl_t
2019-01-01;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-01;TAVG;GHCND:NZM00093110;206;H;;S;
2019-01-01;TMAX;GHCND:NZM00093110;232;;;S;
2019-01-01;TMIN;GHCND:NZM00093110;188;;;S;
2019-01-02;PRCP;GHCND:NZM00093110;5;;;S;
2019-01-02;TAVG;GHCND:NZM00093110;207;H;;S;
2019-01-02;TMAX;GHCND:NZM00093110;230;;;S;
2019-01-02;TMIN;GHCND:NZM00093110;183;;;S;
2019-01-03;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-03;TAVG;GHCND:NZM00093110;211;H;;S;
2019-01-03;TMAX;GHCND:NZM00093110;241;;;S;
2019-01-03;TMIN;GHCND:NZM00093110;184;;;S;
2019-01-04;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-04;TAVG;GHCND:NZM00093110;192;H;;S;
2019-01-04;TMAX;GHCND:NZM00093110;229;;;S;
2019-01-05;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-05;TAVG;GHCND:NZM00093110;200;H;;S;
2019-01-05;TMAX;GHCND:NZM00093110;233;;;S;
2019-01-05;TMIN;GHCND:NZM00093110;150;;;S;
2019-01-06;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-06;TAVG;GHCND:NZM00093110;213;H;;S;
2019-01-06;TMAX;GHCND:NZM00093110;237;;;S;
2019-01-06;TMIN;GHCND:NZM00093110;169;;;S;
2019-01-07;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-07;TAVG;GHCND:NZM00093110;217;H;;S;
2019-01-07;TMAX;GHCND:NZM00093110;247;;;S;
2019-01-07;TMIN;GHCND:NZM00093110;189;;;S;
2019-01-08;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-08;TAVG;GHCND:NZM00093110;199;H;;S;
2019-01-08;TMAX;GHCND:NZM00093110;241;;;S;
2019-01-09;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-09;TAVG;GHCND:NZM00093110;221;H;;S;
2019-01-09;TMAX;GHCND:NZM00093110;270;;;S;
2019-01-09;TMIN;GHCND:NZM00093110;159;;;S;
2019-01-10;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-10;TAVG;GHCND:NZM00093110;223;H;;S;
2019-01-10;TMAX;GHCND:NZM00093110;264;;;S;
2019-01-10;TMIN;GHCND:NZM00093110;183;;;S;
2019-01-11;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-11;TAVG;GHCND:NZM00093110;214;H;;S;
2019-01-11;TMAX;GHCND:NZM00093110;261;;;S;
2019-01-12;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-12;TAVG;GHCND:NZM00093110;218;H;;S;
2019-01-12;TMAX;GHCND:NZM00093110;259;;;S;
2019-01-12;TMIN;GHCND:NZM00093110;170;;;S;
2019-01-13;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-13;TAVG;GHCND:NZM00093110;206;H;;S;
2019-01-13;TMAX;GHCND:NZM00093110;272;;;S;
2019-01-14;PRCP;GHCND:NZM00093110;193;;;S;
2019-01-14;TAVG;GHCND:NZM00093110;164;H;;S;
2019-01-14;TMAX;GHCND:NZM00093110;225;;;S;
2019-01-15;PRCP;GHCND:NZM00093110;79;;;S;
2019-01-15;TAVG;GHCND:NZM00093110;185;H;;S;
2019-01-15;TMAX;GHCND:NZM00093110;211;;;S;
2019-01-15;TMIN;GHCND:NZM00093110;136;;;S;
2019-01-16;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-16;TAVG;GHCND:NZM00093110;204;H;;S;
2019-01-16;TMAX;GHCND:NZM00093110;232;;;S;
2019-01-16;TMIN;GHCND:NZM00093110;160;;;S;
2019-01-17;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-17;TAVG;GHCND:NZM00093110;205;H;;S;
2019-01-17;TMAX;GHCND:NZM00093110;233;;;S;
2019-01-17;TMIN;GHCND:NZM00093110;184;;;S;
2019-01-18;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-18;TAVG;GHCND:NZM00093110;213;H;;S;
2019-01-18;TMAX;GHCND:NZM00093110;241;;;S;
2019-01-18;TMIN;GHCND:NZM00093110;185;;;S;
2019-01-19;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-19;TAVG;GHCND:NZM00093110;216;H;;S;
2019-01-19;TMAX;GHCND:NZM00093110;244;;;S;
2019-01-19;TMIN;GHCND:NZM00093110;188;;;S;
2019-01-20;PRCP;GHCND:NZM00093110;5;;;S;
2019-01-20;TAVG;GHCND:NZM00093110;202;H;;S;
2019-01-20;TMAX;GHCND:NZM00093110;235;;;S;
2019-01-21;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-21;TAVG;GHCND:NZM00093110;202;H;;S;
2019-01-21;TMAX;GHCND:NZM00093110;243;;;S;
2019-01-21;TMIN;GHCND:NZM00093110;179;;;S;
2019-01-22;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-22;TAVG;GHCND:NZM00093110;201;H;;S;
2019-01-22;TMAX;GHCND:NZM00093110;229;;;S;
2019-01-22;TMIN;GHCND:NZM00093110;180;;;S;
2019-01-23;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-23;TAVG;GHCND:NZM00093110;212;H;;S;
2019-01-23;TMAX;GHCND:NZM00093110;241;;;S;
2019-01-23;TMIN;GHCND:NZM00093110;183;;;S;
2019-01-24;PRCP;GHCND:NZM00093110;25;;;S;
2019-01-24;TAVG;GHCND:NZM00093110;187;H;;S;
2019-01-24;TMAX;GHCND:NZM00093110;220;;;S;
2019-01-25;PRCP;GHCND:NZM00093110;0;;;S;
2019-01-25;TAVG;GHCND:NZM00093110;187;H;;S;
