date,location,max_aqi
2019-01-01,queen_street,36
2019-01-02,queen_street,30
2019-01-03,queen_street,35
2019-01-04,queen_street,41
2019-01-05,queen_street,54
2019-01-06,queen_street,48
2019-01-07,queen_street,31
2019-01-08,queen_street,31
2019-01-09,queen_street,34
2019-01-10,queen_street,40
2019-01-11,queen_street,61
2019-01-12,queen_street,34
2019-01-13,queen_street,44
2019-01-14,queen_street,53
2019-01-15,queen_street,27
2019-01-16,queen_street,32
2019-01-17,queen_street,41
2019-01-18,queen_street,41
2019-01-19,queen_street,35
2019-01-20,queen_street,39
2019-01-21,queen_street,44
2019-01-22,queen_street,47
2019-01-23,queen_street,46
2019-01-24,queen_street,52
2019-01-25,queen_street,53
2019-01-26,queen_street,45
2019-01-27,queen_street,37
2019-01-28,queen_street,24
2019-01-29,queen_street,34
2019-01-30,queen_street,43
2019-01-31,queen_street,45
2019-02-01,queen_street,45
2019-02-02,queen_street,42
2019-02-03,queen_street,40
2019-02-04,queen_street,44
2019-02-05,queen_street,56
2019-02-06,queen_street,39
2019-02-07,queen_street,26
2019-02-08,queen_street,26
2019-02-09,queen_street,28
2019-02-10,queen_street,29
2019-02-11,queen_street,40
2019-02-12,queen_street,51
2019-02-13,queen_street,34
2019-02-14,queen_street,44
2019-02-15,queen_street,31
2019-02-16,queen_street,40
2019-02-17,queen_street,47
2019-02-18,queen_street,46
2019-02-19,queen_street,39
2019-02-20,queen_street,45
2019-02-21,queen_street,32
2019-02-22,queen_street,53
2019-02-23,queen_street,28
2019-02-24,queen_street,35
2019-02-25,queen_street,27
2019-02-26,queen_street,44
2019-02-27,queen_street,33
2019-02-28,queen_street,38
2019-03-01,queen_street,58
2019-03-02,queen_street,38
2019-03-03,queen_street,27
2019-03-04,queen_street,38
2019-03-05,queen_street,54
2019-03-06,queen_street,47
2019-03-07,queen_street,56
2019-03-08,queen_street,57
2019-03-09,queen_street,39
2019-03-10,queen_street,36
2019-03-11,queen_street,44
2019-03-12,queen_street,59
2019-03-13,queen_street,53
2019-03-14,queen_street,46
2019-03-15,queen_street,28
2019-03-16,queen_street,31
2019-03-17,queen_street,25
2019-03-18,queen_street,33
2019-03-19,queen_street,40
2019-03-20,queen_street,37
2019-03-21,queen_street,31
2019-03-22,queen_street,53
2019-03-23,queen_street,29
2019-03-24,queen_street,31
2019-03-25,queen_street,36
2019-03-26,queen_street,64
2019-03-27,queen_street,48
2019-03-28,queen_street,54
2019-03-29,queen_street,22
2019-03-30,queen_street,24
2019-03-31,queen_street,30
2019-04-01,queen_street,44
2019-04-02,queen_street,37
2019-04-03,queen_street,35
2019-04-04,queen_street,32
2019-04-05,queen_street,34
2019-04-06,queen_street,32
2019-04-07,queen_street,27
2019-04-08,queen_street,26
2019-04-09,queen_street,34
2019-04-10,queen_street,38
2019-04-11,queen_street,92
2019-04-12,queen_street,71
2019-04-13,queen_street,75
2019-04-14,queen_street,32
2019-04-15,queen_street,30
2019-04-16,queen_street,40
2019-04-17,queen_street,31
2019-04-18,queen_street,64
2019-04-19,queen_street,35
2019-04-20,queen_street,43
2019-04-21,queen_street,43
2019-04-22,queen_street,33
2019-04-23,queen_street,65
2019-04-24,queen_street,40
2019-04-25,queen_street,30
2019-04-26,queen_street,46
2019-04-27,queen_street,43
2019-04-28,queen_street,37
2019-04-29,queen_street,68
2019-04-30,queen_street,44
2019-05-01,queen_street,41
2019-05-02,queen_street,45
2019-05-03,queen_street,41
2019-05-04,queen_street,45
2019-05-05,queen_street,39
2019-05-06,queen_street,26
2019-05-07,queen_street,33
2019-05-08,queen_street,35
2019-05-09,queen_street,53
2019-05-10,queen_street,71
2019-05-11,queen_street,38
2019-05-12,queen_street,36
2019-05-13,queen_street,63
2019-05-14,queen_street,79
2019-05-15,queen_street,75
2019-05-16,queen_street,49
2019-05-17,queen_street,45
2019-05-18,queen_street,49
2019-05-19,queen_street,35
2019-05-20,queen_street,45
2019-05-21,queen_street,57
2019-05-22,queen_street,58
2019-05-23,queen_street,44
2019-05-24,queen_street,57
2019-05-25,queen_street,39
2019-05-26,queen_street,43
2019-05-27,queen_street,46
2019-05-28,queen_street,38
2019-05-29,queen_street,70
2019-05-30,queen_street,56
2019-05-31,queen_street,77
2019-06-01,queen_street,55
2019-06-02,queen_street,46
2019-06-03,queen_street,34
2019-06-04,queen_street,50
2019-06-05,queen_street,65
2019-06-06,queen_street,70
2019-06-07,queen_street,55
2019-06-08,queen_street,57
2019-06-09,queen_street,61
2019-06-10,queen_street,55
2019-06-11,queen_street,60
2019-06-12,queen_street,46
2019-06-13,queen_street,58
2019-06-14,queen_street,66
2019-06-15,queen_street,41
2019-06-16,queen_street,53
2019-06-17,queen_street,65
2019-06-18,queen_street,55
2019-06-19,queen_street,45
2019-06-20,queen_street,27
2019-06-21,queen_street,62
2019-06-22,queen_street,52
2019-06-23,queen_street,60
2019-06-24,queen_street,71
2019-06-25,queen_street,33
2019-06-26,queen_street,41
2019-06-27,queen_street,39
2019-06-28,queen_street,38
2019-06-29,queen_street,35
2019-06-30,queen_street,31
2019-07-01,queen_street,28
2019-07-02,queen_street,30
2019-07-03,queen_street,46
2019-07-04,queen_street,51
2019-07-05,queen_street,54
2019-07-06,queen_street,52
2019-07-07,queen_street,41
2019-07-08,queen_street,62
2019-07-09,queen_street,59
2019-07-10,queen_street,50
2019-07-11,queen_street,57
2019-07-12,queen_street,59
2019-07-13,queen_street,45
2019-07-14,queen_street,54
2019-07-15,queen_street,59
2019-07-16,queen_street,73
2019-07-17,queen_street,80
2019-07-18,queen_street,75
2019-07-19,queen_street,62
2019-07-20,queen_street,68
2019-07-21,queen_street,36
2019-07-22,queen_street,48
2019-07-23,queen_street,43
2019-07-24,queen_street,51
2019-07-25,queen_street,61
2019-07-26,queen_street,40
2019-07-27,queen_street,23
2019-07-28,queen_street,24
2019-07-29,queen_street,28
2019-07-30,queen_street,68
2019-07-31,queen_street,63
2019-08-01,queen_street,59
2019-08-02,queen_street,71
2019-08-03,queen_street,46
2019-08-04,queen_street,60
2019-08-05,queen_street,61
2019-08-06,queen_street,78
2019-08-07,queen_street,80
2019-08-08,queen_street,73
2019-08-09,queen_street,49
2019-08-10,queen_street,51
2019-08-11,queen_street,56
2019-08-12,queen_street,49
2019-08-13,queen_street,65
2019-08-14,queen_street,56
2019-08-15,queen_street,43
2019-08-16,queen_street,84
2019-08-17,queen_street,59
2019-08-18,queen_street,25
2019-08-19,queen_street,32
2019-08-20,queen_street,29
2019-08-21,queen_street,66
2019-08-22,queen_street,57
2019-08-23,queen_street,41
2019-08-24,queen_street,37
2019-08-25,queen_street,38
2019-08-26,queen_street,63
2019-08-27,queen_street,56
2019-08-28,queen_street,74
2019-08-29,queen_street,64
2019-08-30,queen_street,68
2019-08-31,queen_street,32
2019-09-01,queen_street,41
2019-09-02,queen_street,44
2019-09-03,queen_street,31
2019-09-04,queen_street,29
2019-09-05,queen_street,40
2019-09-06,queen_street,59
2019-09-07,queen_street,46
2019-09-08,queen_street,52
2019-09-09,queen_street,52
2019-09-10,queen_street,39
2019-09-11,queen_street,46
2019-09-12,queen_street,51
2019-09-13,queen_street,59
2019-09-14,queen_street,35
2019-09-15,queen_street,55
2019-09-16,queen_street,48
2019-09-17,queen_street,63
2019-09-18,queen_street,47
2019-09-19,queen_street,66
2019-09-20,queen_street,46
2019-09-21,queen_street,39
2019-09-22,queen_street,33
2019-09-23,queen_street,52
2019-09-24,queen_street,54
2019-09-25,queen_street,67
2019-09-26,queen_street,52
2019-09-27,queen_street,61
2019-09-28,queen_street,51
2019-09-29,queen_street,44
2019-09-30,queen_street,54
2019-10-01,queen_street,64
2019-10-02,queen_street,48
2019-10-03,queen_street,52
2019-10-04,queen_street,60
2019-10-05,queen_street,48
2019-10-06,queen_street,34
2019-10-07,queen_street,30
2019-10-08,queen_street,65
2019-10-09,queen_street,26
2019-10-10,queen_street,43
2019-10-11,queen_street,85
2019-10-12,queen_street,34
2019-10-13,queen_street,33
2019-10-14,queen_street,30
