"delay","stop.id","stop.sequence","route"
500,"5348",19,"14901-20170214155712_v51.8"
-463,"5906",36,"22302-20170214155712_v51.8"
454,"1626",1,"13901-20170214155712_v51.8"
223,"5296",14,"15012-20170214155712_v51.8"
1047,"3575",29,"89104-20170214155712_v51.8"
206,"8716",14,"31202-20170214155712_v51.8"
969,"7061",29,"30201-20170214155712_v51.8"
472,"8245",18,"39002-20170214155712_v51.8"
231,"7201",30,"52501-20170214155712_v51.8"
346,"7231",36,"32201-20170214155712_v51.8"
736,"7861",27,"71902-20170214155712_v51.8"
-59,"7341",32,"76701-20170214155712_v51.8"
123,"8782",81,"00706-20170214155712_v51.8"
130,"7401",35,"65501-20170214155712_v51.8"
152,"7326",14,"76902-20170214155712_v51.8"
1029,"8834",39,"01002-20170214155712_v51.8"
119,"7202",7,"30202-20170214155712_v51.8"
976,"7014",4,"24802-20170214155712_v51.8"
376,"8648",23,"29902-20170214155712_v51.8"
-39,"1303",2,"01002-20170214155712_v51.8"
1386,"8644",21,"29902-20170214155712_v51.8"
428,"7543",10,"59501-20170214155712_v51.8"
-449,"7087",29,"03001-20170214155712_v51.8"
664,"7156",5,"52504-20170214155712_v51.8"
13,"8486",4,"02001-20170214155712_v51.8"
-68,"8491",21,"02004-20170214155712_v51.8"
435,"7171",40,"39001-20170214155712_v51.8"
1484,"7168",6,"27402-20170214155712_v51.8"
-253,"8688",41,"26702-20170214155712_v51.8"
-361,"8501",33,"27701-20170214155712_v51.8"
476,"8604",8,"29902-20170214155712_v51.8"
251,"8171",33,"39002-20170214155712_v51.8"
318,"8406",10,"26702-20170214155712_v51.8"
434,"7058",1,"26704-20170214155712_v51.8"
15,"7168",4,"25502-20170214155712_v51.8"
-210,"7147",20,"27401-20170214155712_v51.8"
236,"8451",5,"29901-20170214155712_v51.8"
31,"7323",41,"76701-20170214155712_v51.8"
170,"7084",4,"02004-20170214155712_v51.8"
644,"7525",63,"71902-20170214155712_v51.8"
143,"7235",21,"02001-20170214155712_v51.8"
655,"8383",14,"31006-20170214155712_v51.8"
-419,"8297",36,"24304-20170214155712_v51.8"
